transport_do_sklepow_tyg [*,Piaseczno,Buraki,*] (tr)
:  ArabicGroceryShop DobryWarzywniak Krzesak UKermita    :=
31        0.000        0.000   1.952    0.000
32        1.338        0.000   0.000    4.280
33        1.430        0.000   1.599    0.000
34        1.421        0.000   1.000    0.000
35        0.971        0.000   1.170    1.426
36        2.619        0.000   3.297    0.000
37        0.020        0.000   0.000    1.800
38        2.129        0.000   0.132    0.000
39        0.598        0.000   0.000    2.143
40        2.161        0.000   1.329    0.000
41        2.971        0.000   1.300    0.797
42        0.000        0.000   4.220    2.619
43        0.000        0.000   0.000    0.000
44        3.738        0.000   0.643    2.675
45        0.000        1.174   0.000    0.000
46        0.029        0.000   0.000    3.961
47        1.421        0.000   0.865    0.012
48        1.896        0.000   2.300    0.000
49        0.000        0.000   0.000    1.302
50        2.551        0.000   0.000    2.485
51        0.000        0.000   1.481    0.000
52        1.281        0.000   0.000    0.000

 [*,Pruszkow,Ziemniaki,*] (tr)
:  Krzesak UAktora UCHLOPAKOW    :=
1    0.000   1.551    5.266
2    0.000   2.487    0.000
3    0.000   0.000    0.000
4    0.000   2.731    0.671
5    0.000   0.000    1.362
6    0.000   3.421    1.120
7    0.000   0.000    3.365
8    0.000   0.000    0.000
9    0.000   2.908    0.000
10   0.000   0.000    2.401
11   0.000   0.000    0.000
12   0.000   0.779    3.876
13   0.000   2.276    0.000
14   0.000   0.000    0.661
15   0.000   0.770    0.000
16   0.000   2.241    2.405
17   0.000   0.000    0.621
18   0.000   4.455    0.000
19   0.000   0.000    1.991
20   0.000   0.000    0.000
21   0.000   0.877    4.112
22   0.000   0.000    0.000
23   0.000   2.236    0.000
24   0.000   0.000    2.987
25   0.000   3.636    0.218
26   0.587   0.000    1.668
27   0.000   0.461    2.676
28   0.000   0.000    0.000
29   0.000   0.000    4.248
30   0.000   1.361    0.134
31   0.000   0.000    2.636
32   0.000   1.269    0.000
33   0.000   2.122    1.220
34   0.000   3.500    1.773
35   0.000   0.067    3.172
36   0.000   0.000    0.000
37   0.000   2.639    1.398
38   0.000   0.000    3.910
39   0.000   4.394    0.000
40   0.000   0.000    0.255
41   0.000   0.882    4.880
42   0.000   1.101    0.000
43   0.000   1.693    1.883
44   0.000   1.238    0.000
45   0.000   1.289    3.856
46   0.000   0.000    0.000
47   0.000   0.000    1.624
48   0.000   1.212    1.980
49   0.000   0.000    3.741
50   0.000   0.000    1.591
51   0.000   1.341    0.000
52   0.000   0.777    0.000

 [*,Zielonka,Buraki,*] (tr)
:  Stoisko UKarolci UPanaWojtka VegitoWarzywa    :=
1    1.181   4.938      3.312        2.533
2    3.652   0.000      0.000        0.000
3    0.000   0.000      1.278        3.196
4    0.000   1.883      0.000        0.000
5    0.354   3.254      2.274        0.000
6    0.952   0.000      0.000        1.103
7    3.416   2.709      1.112        1.971
8    0.000   0.000      3.962        0.000
9    0.000   1.560      0.000        4.070
