transport_do_sklepow_tyg [*,Piaseczno,Buraki,*] (tr)
:  ArabicGroceryShop DobryWarzywniak Krzesak UKermita UPanaWojtka    :=
 [*,Zielonka,Kapusta,*] (tr)
:  ArabicGroceryShop Stoisko UAktora UKarolci UPanaWojtka VegitoWarzywa    :=
1         1.062        0.742   0.000   1.529      0.898        1.710
2         1.692        0.922   0.000   4.146      0.764        0.000
3         0.000        1.199   0.000   0.000      1.294        2.509
4         3.008        0.000   0.000   0.000      0.000        0.000
5         0.000        0.634   1.119   0.000      1.239        0.000
6         0.000        1.948   0.000   0.872      0.000        0.775
7         0.955        0.000   0.000   2.161      1.354        0.853
8         0.000        0.000   0.000   0.000      0.137        0.636
9         0.000        1.556   0.000   3.316      0.780        0.685
10        0.793        0.000   0.000   1.302      0.629        1.485
11        1.932        0.000   0.000   0.000      1.712        0.000
12        0.000        2.142   0.737   0.000      0.000        2.050
13        0.000        0.000   0.000   0.035      0.000        0.000
14        1.139        0.000   1.094   0.709      0.743        0.000
15        0.000        0.000   0.000   1.906      1.447        1.402
16        0.656        1.280   0.000   0.000      0.000        0.000
17        1.129        0.000   0.000   1.586      0.684        1.558
18        0.000        0.000   0.000   0.000      0.810        0.000
19        1.195        0.691   1.080   2.861      1.363        0.536
20        0.000        2.628   0.000   0.000      0.000        1.597
21        2.885        0.000   0.000   0.000      0.605        0.000
22        0.000        0.000   0.000   2.000      3.402        0.671
23        0.000        0.015   0.000   0.000      0.000        2.526
24        0.051        0.470   1.092   1.004      0.000        0.000
25        0.738        1.645   0.000   3.141      0.000        0.000
26        0.616        0.000   0.000   0.000      1.513        0.788
27        0.911        0.575   0.000   0.000      0.628        1.736
28        2.287        1.242   0.000   2.258      0.000        0.000
29        0.000        0.832   0.000   0.000      1.846        1.854
30        0.985        0.000   0.000   2.730      0.000        0.000
31        0.353        1.917   0.000   0.000      0.652        2.112
32        1.048        0.000   0.000   1.255      2.119        0.000
33        0.804        0.000   0.000   3.702      0.000        1.158
34        0.988        1.326   0.860   0.000      0.925        2.953
35        1.950        0.000   1.870   0.000      0.926        0.000
36        0.000        0.656   0.000   2.804      0.918        0.000
37        3.028        0.901   0.000   0.000      0.657        1.228
38        0.000        0.674   0.000   3.978      2.172        0.828
39        0.046        1.608   0.000   0.000      0.000        2.184
40        0.960        0.000   0.025   0.000      0.732        0.000
41        0.933        1.184   0.000   4.747      0.881        1.026
42        0.694        0.000   0.000   0.708      1.018        1.918
43        2.716        0.789   0.986   0.000      2.620        0.000
44        0.000        1.058   0.000   0.000      0.000        0.776
45        0.331        0.000   0.000   2.991      0.425        1.984
46        0.809        0.604   0.000   0.000      0.739        0.000
47        0.721        0.909   0.000   0.758      0.924        0.767
48        0.930        0.565   0.000   2.773      1.959        1.843
49        1.888        2.124   0.000   0.000      0.000        0.000
50        0.000        0.000   0.000   1.245      1.506        0.806
51        0.609        0.000   0.628   2.379      0.000        1.637
52        0.968        0.566   0.000   0.000      0.795        0.000

 [*,Zielonka,Marchew,*] (tr)
:  Stoisko UKarolci UPanaWojtka VegitoWarzywa    :=
1    1.099   2.310      2.398        1.151
2    1.235   3.402      0.000        1.341
3    0.966   4.904      1.886        1.334
4    2.868   0.000      0.000        1.236
5    0.000   0.000      3.528        3.447
6    0.000   0.000      0.000        0.000
7    0.848   0.786      0.349        0.000
8    0.833   6.410      0.000        0.971
9    0.960   1.744      2.070        2.062
10   0.707   0.000      0.000        0.000
11   1.871   0.000      3.207        1.047
12   0.000   0.000      0.000        3.810
13   0.000   0.000      0.000        0.000
14   0.770   3.954      1.235        0.000
15   0.971   0.000      0.000        0.017
16   1.724   0.000      4.201        1.165
17   0.000   4.170      0.000        0.841
18   0.000   0.000      0.476        4.539
19   0.942   0.866      0.000        0.000
20   1.230   0.000      0.599        0.000
21   1.094   1.521      1.755        0.000
22   1.681   4.296      0.000        0.942
23   0.000   0.000      1.875        1.451
24   2.900   0.000      0.000        4.669
25   0.000   1.727      2.693        0.000
26   0.000   1.440      0.000        0.000
27   2.335   1.467      1.275        0.000
28   0.000   1.398      2.784        3.850
29   1.643   1.965      0.000        0.000
30   0.000   1.815      2.308        3.056
31   1.200   1.980      0.000        0.000
32   0.884   1.756      1.388        0.000
33   3.467   1.944      1.387        1.675
34   0.000   1.582      1.387        3.257
35   0.000   5.875      2.762        0.000
36   0.914   0.000      0.000        1.091
37   0.577   0.000      0.885        4.137
38   0.921   3.609      1.936        0.000
39   1.240   0.794      0.883        0.639
40   1.170   1.826      0.508        4.387
41   1.752   1.459      2.393        0.000
42   0.000   3.814      0.254        1.377
43   2.097   2.271      1.387        0.000
44   0.000   0.000      1.198        2.402
45   0.590   1.653      1.183        0.000
46   0.871   2.029      2.953        1.728
47   3.198   3.705      0.582        2.362
48   0.000   0.000      0.632        0.000
49   0.088   1.895      1.298        3.724
50   0.992   3.731      1.119        0.000
51   1.663   1.606      2.169        0.000
52   0.000   0.000      0.000        1.265

 [*,Zielonka,Ziemniaki,*] (tr)
:  ArabicGroceryShop Stoisko UKarolci UPanaWojtka VegitoWarzywa    :=
1         4.191        1.485   3.238      1.852        1.576
2         0.000        1.809   2.291      1.592        3.832
3         1.646        1.304   2.041      1.405        0.000
4         1.395        2.269   2.281      1.167        3.134
5         2.846        1.766   5.540      0.962        0.000
6         0.000        0.809   0.848      1.634        5.009
7         1.324        0.125   0.000      2.993        1.782
8         4.533        2.129   4.200      0.000        0.000
9         0.000        1.612   0.000      1.791        0.968
10        0.000        0.000   1.709      2.526        0.000
11        1.986        1.800   3.772      0.000        4.306
12        0.000        0.000   0.000      0.834        0.000
13        3.975        3.679   5.139      2.653        0.000
14        0.000        0.000   0.000      0.000        1.422
15        0.000        0.000   0.000      1.328        1.309
16        4.445        2.833   8.615      1.484        5.602
17        0.350        0.000   0.000      1.358        0.000
18        0.000        2.442   0.000      1.724        0.000
19        0.000        0.000   0.723      3.533        0.260
20        1.290        0.018   0.000      2.961        1.313
21        3.191        1.470   3.917      0.000        2.213
22        0.000        1.112   0.000      0.149        1.176
23        1.389        1.245   2.185      0.000        3.008
24        1.415        0.983   8.699      2.302        0.294
25        4.795        1.754   0.000      1.097        1.815
26        0.000        1.331   0.000      1.583        3.317
27        0.000        1.411   4.569      1.794        0.000
28        1.736        2.910   0.000      1.873        3.452
29        3.886        0.000   5.457      1.986        0.000
30        0.000        3.906   0.000      3.184        1.986
31        4.222        0.000   0.000      0.000        1.986
32        1.457        0.396   6.181      2.722        2.348
33        0.000        1.049   0.000      1.610        3.577
34        3.853        0.997   1.285      1.955        0.448
35        0.160        1.721   4.034      2.533        3.823
36        1.647        3.185   1.245      1.369        2.863
37        2.033        0.000   2.927      1.278        0.000
38        2.077        3.335   3.402      2.247        4.806
39        3.844        0.000   6.580      3.736        0.000
40        0.487        1.557   0.871      0.460        1.448
41        1.950        0.989   0.000      1.261        3.861
42        1.377        3.869   3.064      3.841        0.000
43        2.322        0.153   3.069      0.448        4.048
44        1.756        0.303   2.447      1.571        0.000
45        2.245        2.074   2.769      3.926        1.646
46        4.385        0.000   4.814      0.000        5.065
47        0.000        1.456   0.000      1.908        0.769
48        2.971        1.544   6.323      2.880        0.000
49        0.000        1.799   0.000      2.757        1.986
50        3.412        3.416   1.823      0.000        5.016
51        0.000        0.000   3.540      1.421        0.000
52        1.535        0.282   1.312      1.563        0.000
;

